sample,MLII,V5
102,-0.33,-0.185
103,-0.325,-0.175
104,-0.33,-0.175
105,-0.33,-0.195
106,-0.345,-0.19
107,-0.355,-0.18
108,-0.335,-0.165
109,-0.325,-0.17
110,-0.305,-0.17
111,-0.32,-0.17
112,-0.32,-0.19
113,-0.33,-0.185
114,-0.34,-0.18
115,-0.335,-0.17
116,-0.34,-0.175
117,-0.345,-0.19
118,-0.355,-0.2
119,-0.355,-0.195
120,-0.34,-0.185
121,-0.33,-0.17
122,-0.33,-0.17
123,-0.33,-0.185
124,-0.34,-0.195
125,-0.35,-0.175
126,-0.325,-0.2
127,-0.325,-0.185
128,-0.33,-0.18
129,-0.33,-0.185
130,-0.335,-0.205
131,-0.335,-0.19
132,-0.34,-0.18
133,-0.33,-0.185
134,-0.34,-0.2
135,-0.35,-0.215
136,-0.355,-0.205
137,-0.35,-0.21
138,-0.345,-0.2
139,-0.33,-0.185
140,-0.32,-0.205
141,-0.335,-0.2
142,-0.33,-0.21
143,-0.345,-0.205
144,-0.33,-0.185
145,-0.335,-0.185
146,-0.335,-0.2
147,-0.345,-0.215
148,-0.345,-0.225
149,-0.355,-0.22
150,-0.34,-0.2
151,-0.34,-0.2
152,-0.335,-0.215
153,-0.33,-0.225
154,-0.35,-0.235
155,-0.35,-0.245
156,-0.345,-0.24
157,-0.335,-0.24
158,-0.335,-0.24
159,-0.335,-0.245
160,-0.35,-0.26
161,-0.355,-0.26
162,-0.355,-0.265
163,-0.345,-0.265
164,-0.345,-0.28
165,-0.335,-0.285
166,-0.35,-0.295
167,-0.36,-0.295
168,-0.36,-0.3
169,-0.36,-0.29
170,-0.365,-0.3
171,-0.36,-0.315
172,-0.37,-0.315
173,-0.385,-0.315
174,-0.37,-0.315
175,-0.36,-0.31
176,-0.355,-0.31
177,-0.36,-0.325
178,-0.375,-0.33
179,-0.375,-0.325
180,-0.365,-0.315
181,-0.365,-0.305
182,-0.36,-0.305
183,-0.36,-0.29
184,-0.365,-0.29
185,-0.37,-0.275
186,-0.355,-0.27
187,-0.33,-0.245
188,-0.325,-0.24
189,-0.325,-0.25
190,-0.335,-0.25
191,-0.34,-0.235
192,-0.315,-0.22
193,-0.3,-0.195
194,-0.3,-0.19
195,-0.29,-0.19
196,-0.295,-0.19
197,-0.29,-0.18
198,-0.285,-0.16
199,-0.275,-0.145
200,-0.255,-0.15
201,-0.25,-0.16
202,-0.25,-0.16
203,-0.265,-0.155
204,-0.255,-0.145
205,-0.245,-0.14
206,-0.23,-0.16
207,-0.245,-0.15
208,-0.245,-0.175
209,-0.255,-0.17
210,-0.255,-0.16
211,-0.24,-0.16
212,-0.25,-0.15
213,-0.255,-0.155
214,-0.245,-0.16
215,-0.255,-0.17
216,-0.25,-0.155
217,-0.25,-0.155
218,-0.265,-0.15
219,-0.26,-0.165
220,-0.26,-0.175
221,-0.265,-0.165
222,-0.27,-0.165
223,-0.265,-0.16
224,-0.26,-0.16
225,-0.275,-0.18
226,-0.28,-0.175
227,-0.29,-0.185
228,-0.275,-0.165
229,-0.27,-0.15
230,-0.26,-0.15
231,-0.28,-0.17
232,-0.28,-0.185
233,-0.285,-0.195
234,-0.275,-0.19
235,-0.275,-0.19
236,-0.265,-0.185
237,-0.27,-0.19
238,-0.285,-0.21
239,-0.29,-0.195
240,-0.28,-0.19
241,-0.275,-0.18
242,-0.285,-0.205
243,-0.28,-0.215
244,-0.3,-0.225
245,-0.3,-0.21
246,-0.305,-0.205
247,-0.295,-0.195
248,-0.3,-0.2
249,-0.31,-0.195
250,-0.31,-0.21
251,-0.305,-0.215
252,-0.295,-0.205
253,-0.285,-0.185
254,-0.285,-0.195
255,-0.29,-0.195
256,-0.295,-0.22
257,-0.31,-0.22
258,-0.29,-0.21
259,-0.295,-0.215
260,-0.3,-0.22
261,-0.305,-0.22
262,-0.31,-0.225
263,-0.325,-0.21
264,-0.31,-0.2
265,-0.3,-0.21
266,-0.29,-0.225
267,-0.31,-0.23
268,-0.325,-0.225
269,-0.33,-0.22
270,-0.315,-0.23
271,-0.3,-0.21
272,-0.305,-0.215
273,-0.31,-0.215
274,-0.32,-0.23
275,-0.33,-0.215
276,-0.325,-0.22
277,-0.315,-0.205
278,-0.31,-0.205
279,-0.305,-0.21
280,-0.305,-0.215
281,-0.31,-0.225
282,-0.3,-0.215
283,-0.305,-0.215
284,-0.29,-0.215
285,-0.3,-0.225
286,-0.3,-0.225
287,-0.305,-0.225
288,-0.305,-0.205
289,-0.29,-0.195
290,-0.28,-0.21
291,-0.295,-0.21
292,-0.305,-0.215
293,-0.315,-0.235
294,-0.305,-0.23
295,-0.295,-0.22
296,-0.29,-0.22
297,-0.28,-0.23
298,-0.27,-0.225
299,-0.275,-0.23
300,-0.275,-0.215
301,-0.27,-0.195
302,-0.25,-0.195
303,-0.25,-0.19
304,-0.255,-0.2
305,-0.225,-0.195
306,-0.22,-0.18
307,-0.205,-0.17
308,-0.2,-0.18
309,-0.205,-0.175
310,-0.215,-0.195
311,-0.23,-0.195
312,-0.22,-0.17
313,-0.225,-0.175
314,-0.225,-0.175
315,-0.225,-0.18
316,-0.23,-0.185
317,-0.235,-0.185
318,-0.24,-0.175
319,-0.235,-0.175
320,-0.22,-0.175
321,-0.21,-0.19
322,-0.205,-0.205
323,-0.245,-0.2
324,-0.285,-0.205
325,-0.285,-0.205
326,-0.3,-0.215
327,-0.31,-0.215
328,-0.33,-0.225
329,-0.33,-0.215
330,-0.325,-0.21
331,-0.315,-0.2
332,-0.32,-0.215
333,-0.315,-0.225
334,-0.325,-0.245
335,-0.34,-0.245
336,-0.345,-0.25
337,-0.34,-0.225
338,-0.34,-0.23
339,-0.35,-0.235
340,-0.345,-0.24
341,-0.355,-0.235
342,-0.33,-0.235
343,-0.335,-0.22
344,-0.33,-0.23
345,-0.32,-0.24
346,-0.345,-0.24
347,-0.355,-0.245
348,-0.34,-0.225
349,-0.33,-0.225
350,-0.325,-0.235
351,-0.33,-0.25
352,-0.35,-0.27
353,-0.365,-0.28
354,-0.36,-0.29
355,-0.38,-0.3
356,-0.425,-0.33
357,-0.445,-0.36
358,-0.475,-0.355
359,-0.51,-0.305
360,-0.535,-0.205
361,-0.505,-0.08
362,-0.415,0.015
363,-0.3,0.065
364,-0.16,0.115
365,-0.015,0.19
366,0.235,0.3
367,0.49,0.41
368,0.72,0.495
369,0.875,0.485
370,0.94,0.36
371,0.905,0.105
372,0.755,-0.165
373,0.49,-0.35
374,0.165,-0.45
375,-0.11,-0.47
376,-0.27,-0.45
377,-0.39,-0.395
378,-0.45,-0.345
379,-0.475,-0.31
380,-0.455,-0.295
381,-0.425,-0.285
382,-0.39,-0.295
383,-0.39,-0.295
384,-0.385,-0.28
385,-0.39,-0.285
386,-0.38,-0.285
387,-0.38,-0.285
388,-0.38,-0.29
389,-0.395,-0.275
390,-0.385,-0.275
391,-0.385,-0.275
392,-0.385,-0.27
393,-0.375,-0.285
394,-0.395,-0.295
395,-0.41,-0.29
396,-0.41,-0.275
397,-0.4,-0.265
398,-0.395,-0.265
399,-0.39,-0.275
400,-0.405,-0.295
401,-0.395,-0.29
402,-0.385,-0.285
403,-0.375,-0.27
404,-0.39,-0.265
405,-0.39,-0.275
406,-0.405,-0.28
407,-0.41,-0.28
408,-0.41,-0.27
409,-0.39,-0.265
410,-0.39,-0.27
411,-0.395,-0.27
412,-0.405,-0.28
413,-0.415,-0.27
414,-0.4,-0.265
415,-0.41,-0.265
416,-0.405,-0.265
417,-0.41,-0.27
418,-0.415,-0.285
419,-0.41,-0.285
420,-0.4,-0.265
421,-0.4,-0.265
422,-0.395,-0.255
423,-0.39,-0.275
424,-0.405,-0.275
425,-0.41,-0.28
426,-0.39,-0.27
427,-0.39,-0.265
428,-0.385,-0.275
429,-0.385,-0.285
430,-0.41,-0.28
431,-0.405,-0.28
432,-0.395,-0.275
433,-0.39,-0.275
434,-0.375,-0.275
435,-0.39,-0.285
436,-0.395,-0.295
437,-0.41,-0.295
438,-0.4,-0.275
439,-0.39,-0.275
440,-0.39,-0.285
441,-0.385,-0.29
442,-0.405,-0.315
443,-0.415,-0.315
444,-0.415,-0.305
445,-0.4,-0.29
446,-0.395,-0.31
447,-0.405,-0.32
448,-0.415,-0.32
449,-0.42,-0.335
450,-0.42,-0.33
451,-0.41,-0.325
452,-0.415,-0.345
453,-0.425,-0.35
454,-0.42,-0.365
455,-0.435,-0.37
456,-0.43,-0.355
457,-0.43,-0.36
458,-0.42,-0.37
459,-0.43,-0.39
460,-0.45,-0.395
461,-0.455,-0.4
462,-0.45,-0.39
463,-0.435,-0.385
464,-0.445,-0.39
465,-0.45,-0.4
466,-0.455,-0.41
467,-0.47,-0.42
468,-0.46,-0.405
469,-0.455,-0.41
470,-0.45,-0.41
471,-0.455,-0.4
472,-0.47,-0.405
473,-0.475,-0.39
474,-0.46,-0.385
475,-0.45,-0.365
476,-0.445,-0.355
477,-0.44,-0.345
478,-0.435,-0.355
479,-0.44,-0.33
480,-0.41,-0.295
481,-0.395,-0.275
482,-0.37,-0.27
483,-0.365,-0.26
484,-0.36,-0.265
485,-0.365,-0.265
486,-0.34,-0.245
487,-0.325,-0.225
488,-0.315,-0.21
489,-0.32,-0.215
490,-0.33,-0.215
491,-0.33,-0.205
492,-0.32,-0.195
493,-0.31,-0.185
494,-0.3,-0.185
495,-0.3,-0.195
496,-0.32,-0.195
497,-0.32,-0.195
498,-0.315,-0.185
499,-0.305,-0.17
500,-0.305,-0.185
501,-0.295,-0.195
502,-0.32,-0.195
503,-0.33,-0.195
504,-0.305,-0.185
505,-0.31,-0.175
506,-0.3,-0.175
507,-0.3,-0.185
508,-0.32,-0.195
509,-0.325,-0.195
510,-0.31,-0.195
511,-0.305,-0.18
512,-0.315,-0.185
513,-0.305,-0.19
514,-0.315,-0.195
515,-0.315,-0.195
516,-0.31,-0.19
517,-0.295,-0.185
518,-0.29,-0.185
519,-0.305,-0.19
520,-0.31,-0.2
521,-0.32,-0.215
522,-0.315,-0.195
523,-0.3,-0.185
524,-0.315,-0.185
525,-0.315,-0.185
526,-0.315,-0.2
527,-0.33,-0.205
528,-0.315,-0.19
529,-0.32,-0.19
530,-0.315,-0.2
531,-0.325,-0.2
532,-0.335,-0.195
533,-0.34,-0.22
534,-0.335,-0.205
535,-0.335,-0.19
536,-0.33,-0.2
537,-0.325,-0.22
538,-0.345,-0.23
539,-0.35,-0.21
540,-0.345,-0.205
541,-0.335,-0.2
542,-0.33,-0.195
543,-0.33,-0.22
544,-0.345,-0.225
545,-0.345,-0.225
546,-0.345,-0.215
547,-0.32,-0.205
548,-0.33,-0.205
549,-0.335,-0.215
550,-0.34,-0.225
551,-0.355,-0.22
552,-0.335,-0.225
553,-0.33,-0.195
554,-0.33,-0.215
555,-0.335,-0.22
556,-0.355,-0.215
557,-0.36,-0.225
558,-0.355,-0.215
559,-0.35,-0.21
560,-0.34,-0.21
561,-0.345,-0.225
562,-0.345,-0.23
563,-0.345,-0.22
564,-0.345,-0.21
565,-0.33,-0.205
566,-0.33,-0.2
567,-0.335,-0.205
568,-0.345,-0.22
569,-0.35,-0.23
570,-0.35,-0.215
571,-0.34,-0.205
572,-0.33,-0.2
573,-0.345,-0.23
574,-0.345,-0.22
575,-0.355,-0.215
576,-0.35,-0.205
577,-0.34,-0.2
578,-0.33,-0.205
579,-0.34,-0.22
580,-0.34,-0.22
581,-0.34,-0.225
582,-0.33,-0.205
583,-0.335,-0.2
584,-0.33,-0.2
585,-0.335,-0.21
586,-0.345,-0.23
587,-0.345,-0.215
588,-0.34,-0.2
589,-0.33,-0.2
590,-0.315,-0.205
591,-0.295,-0.21
592,-0.3,-0.215
593,-0.295,-0.22
594,-0.285,-0.205
595,-0.275,-0.2
596,-0.265,-0.195
597,-0.265,-0.205
598,-0.265,-0.205
599,-0.255,-0.205
600,-0.25,-0.18
601,-0.24,-0.17
602,-0.225,-0.19
603,-0.215,-0.19
604,-0.24,-0.2
605,-0.245,-0.185
606,-0.24,-0.165
607,-0.245,-0.145
608,-0.235,-0.145
609,-0.245,-0.17
610,-0.25,-0.175
611,-0.275,-0.17
612,-0.275,-0.165
613,-0.265,-0.15
614,-0.25,-0.16
615,-0.225,-0.175
616,-0.22,-0.19
617,-0.23,-0.19
618,-0.265,-0.185
619,-0.27,-0.185
620,-0.28,-0.175
621,-0.285,-0.195
622,-0.305,-0.215
623,-0.32,-0.205
624,-0.34,-0.2
625,-0.33,-0.195
626,-0.335,-0.205
627,-0.335,-0.21
628,-0.355,-0.22
629,-0.37,-0.215
630,-0.36,-0.21
631,-0.345,-0.205
632,-0.35,-0.2
633,-0.355,-0.21
634,-0.365,-0.22
635,-0.375,-0.22
636,-0.38,-0.22
637,-0.37,-0.2
638,-0.365,-0.205
639,-0.365,-0.215
640,-0.38,-0.225
641,-0.385,-0.22
642,-0.38,-0.215
643,-0.375,-0.205
644,-0.355,-0.22
645,-0.37,-0.225
646,-0.39,-0.24
647,-0.405,-0.26
648,-0.41,-0.28
649,-0.435,-0.3
650,-0.465,-0.345
651,-0.49,-0.375
652,-0.52,-0.345
653,-0.555,-0.26
654,-0.57,-0.125
655,-0.525,0.025
656,-0.405,0.145
657,-0.25,0.26
658,-0.09,0.375
659,0.12,0.505
660,0.41,0.635
661,0.69,0.705
662,0.885,0.61
663,0.96,0.32
664,0.85,-0.045
665,0.52,-0.25
666,0.05,-0.27
667,-0.32,-0.24
668,-0.5,-0.24
669,-0.505,-0.25
670,-0.445,-0.255
671,-0.415,-0.245
672,-0.395,-0.245
673,-0.39,-0.245
674,-0.395,-0.255
675,-0.39,-0.26
676,-0.395,-0.26
677,-0.405,-0.27
678,-0.395,-0.245
679,-0.405,-0.245
680,-0.39,-0.25
681,-0.395,-0.265
682,-0.395,-0.27
683,-0.41,-0.27
684,-0.405,-0.265
685,-0.4,-0.26
686,-0.4,-0.26
687,-0.415,-0.27
688,-0.405,-0.28
689,-0.42,-0.28
690,-0.415,-0.27
691,-0.405,-0.255
692,-0.405,-0.265
693,-0.42,-0.28
694,-0.42,-0.29
695,-0.435,-0.275
696,-0.42,-0.265
697,-0.41,-0.255
698,-0.41,-0.26
699,-0.405,-0.26
700,-0.425,-0.28
701,-0.43,-0.28
702,-0.42,-0.265
703,-0.415,-0.26
704,-0.41,-0.255
705,-0.41,-0.26
706,-0.425,-0.275
707,-0.42,-0.27
708,-0.4,-0.275
709,-0.395,-0.265
710,-0.4,-0.265
711,-0.4,-0.27
712,-0.395,-0.28
713,-0.415,-0.285
714,-0.405,-0.28
715,-0.39,-0.255
716,-0.4,-0.27
717,-0.4,-0.28
718,-0.415,-0.29
719,-0.425,-0.29
720,-0.425,-0.27
721,-0.415,-0.27
722,-0.415,-0.285
723,-0.41,-0.3
724,-0.425,-0.3
725,-0.425,-0.3
726,-0.42,-0.295
727,-0.415,-0.275
728,-0.4,-0.295
729,-0.4,-0.3
730,-0.41,-0.31
731,-0.425,-0.31
732,-0.41,-0.315
733,-0.405,-0.31
734,-0.395,-0.31
735,-0.4,-0.335
736,-0.4,-0.345
737,-0.405,-0.355
738,-0.385,-0.35
739,-0.4,-0.345
740,-0.39,-0.36
741,-0.39,-0.37
742,-0.4,-0.375
743,-0.415,-0.385
744,-0.405,-0.37
745,-0.405,-0.37
746,-0.41,-0.385
747,-0.415,-0.4
748,-0.42,-0.415
749,-0.42,-0.405
750,-0.425,-0.41
751,-0.415,-0.39
752,-0.415,-0.405
753,-0.41,-0.41
754,-0.435,-0.425
755,-0.43,-0.42
756,-0.435,-0.41
757,-0.42,-0.405
758,-0.42,-0.4
759,-0.42,-0.4
760,-0.42,-0.405
761,-0.425,-0.385
762,-0.425,-0.365
763,-0.415,-0.345
764,-0.395,-0.335
765,-0.395,-0.325
766,-0.39,-0.31
767,-0.375,-0.295
768,-0.36,-0.275
769,-0.34,-0.255
770,-0.335,-0.25
771,-0.33,-0.24
772,-0.335,-0.245
773,-0.335,-0.23
774,-0.325,-0.205
775,-0.32,-0.2
776,-0.305,-0.2
777,-0.305,-0.205
778,-0.315,-0.21
779,-0.31,-0.22
780,-0.305,-0.195
781,-0.3,-0.19
782,-0.3,-0.2
783,-0.3,-0.2
784,-0.31,-0.21
785,-0.31,-0.2
786,-0.31,-0.19
787,-0.315,-0.175
788,-0.3,-0.2
789,-0.305,-0.205
790,-0.315,-0.21
791,-0.32,-0.2
792,-0.325,-0.2
793,-0.31,-0.18
794,-0.305,-0.19
795,-0.305,-0.19
796,-0.32,-0.205
797,-0.325,-0.205
798,-0.305,-0.195
799,-0.31,-0.185
800,-0.295,-0.19
801,-0.31,-0.19
802,-0.325,-0.21
803,-0.33,-0.21
804,-0.32,-0.205
805,-0.32,-0.205
806,-0.32,-0.2
807,-0.325,-0.215
808,-0.35,-0.225
809,-0.35,-0.21
810,-0.34,-0.21
811,-0.335,-0.21
812,-0.33,-0.215
813,-0.335,-0.225
814,-0.34,-0.225
815,-0.36,-0.23
816,-0.35,-0.21
817,-0.35,-0.21
818,-0.355,-0.23
819,-0.36,-0.25
820,-0.355,-0.25
821,-0.365,-0.245
822,-0.355,-0.23
823,-0.35,-0.215
824,-0.34,-0.23
825,-0.355,-0.24
826,-0.35,-0.245
827,-0.365,-0.245
828,-0.365,-0.24
829,-0.35,-0.215
830,-0.355,-0.225
831,-0.35,-0.24
832,-0.37,-0.24
833,-0.38,-0.245
834,-0.37,-0.24
835,-0.36,-0.23
836,-0.365,-0.235
837,-0.36,-0.24
838,-0.365,-0.23
839,-0.38,-0.25
840,-0.37,-0.225
841,-0.365,-0.215
842,-0.35,-0.23
843,-0.35,-0.24
844,-0.35,-0.25
845,-0.37,-0.265
846,-0.365,-0.23
847,-0.345,-0.22
848,-0.345,-0.235
849,-0.34,-0.225
850,-0.355,-0.235
851,-0.365,-0.235
852,-0.36,-0.225
853,-0.355,-0.225
854,-0.355,-0.215
855,-0.355,-0.225
856,-0.375,-0.235
857,-0.385,-0.23
858,-0.355,-0.225
859,-0.36,-0.225
860,-0.355,-0.225
861,-0.36,-0.225
862,-0.36,-0.23
863,-0.37,-0.23
864,-0.36,-0.215
865,-0.345,-0.21
866,-0.355,-0.225
867,-0.345,-0.24
868,-0.345,-0.235
869,-0.345,-0.24
870,-0.34,-0.225
871,-0.31,-0.215
872,-0.305,-0.22
873,-0.305,-0.22
874,-0.31,-0.23
875,-0.305,-0.23
876,-0.29,-0.205
877,-0.285,-0.2
878,-0.275,-0.205
879,-0.28,-0.195
880,-0.28,-0.21
881,-0.275,-0.205
882,-0.265,-0.19
883,-0.255,-0.185
884,-0.245,-0.2
885,-0.26,-0.195
886,-0.265,-0.2
887,-0.275,-0.19
888,-0.28,-0.17
889,-0.265,-0.14
890,-0.27,-0.165
891,-0.275,-0.165
892,-0.28,-0.185
893,-0.275,-0.18
894,-0.28,-0.17
895,-0.275,-0.15
896,-0.265,-0.165
897,-0.255,-0.18
898,-0.24,-0.2
899,-0.26,-0.21
900,-0.28,-0.21
901,-0.31,-0.185
902,-0.31,-0.19
903,-0.345,-0.2
904,-0.36,-0.215
905,-0.38,-0.22
906,-0.385,-0.21
907,-0.38,-0.195
908,-0.37,-0.205
909,-0.375,-0.22
910,-0.385,-0.225
911,-0.39,-0.23
912,-0.395,-0.22
913,-0.385,-0.21
914,-0.385,-0.21
915,-0.385,-0.23
916,-0.395,-0.235
917,-0.405,-0.23
918,-0.4,-0.225
919,-0.375,-0.215
920,-0.375,-0.22
921,-0.39,-0.22
922,-0.395,-0.23
923,-0.415,-0.24
924,-0.405,-0.22
925,-0.4,-0.225
926,-0.39,-0.235
927,-0.405,-0.25
928,-0.425,-0.28
929,-0.46,-0.305
930,-0.475,-0.325
931,-0.505,-0.345
932,-0.51,-0.375
933,-0.525,-0.415
934,-0.54,-0.425
935,-0.6,-0.385
936,-0.645,-0.295
937,-0.63,-0.18
938,-0.575,-0.065
939,-0.495,0.035
940,-0.385,0.13
941,-0.27,0.24
942,-0.115,0.37
943,0.09,0.495
944,0.37,0.61
945,0.635,0.655
946,0.81,0.545
947,0.86,0.23
948,0.77,-0.105
949,0.475,-0.28
950,0.065,-0.285
951,-0.305,-0.255
952,-0.5,-0.255
953,-0.52,-0.26
954,-0.475,-0.23
955,-0.41,-0.22
956,-0.39,-0.245
957,-0.39,-0.255
958,-0.4,-0.26
959,-0.41,-0.25
960,-0.405,-0.235
961,-0.385,-0.245
962,-0.39,-0.245
963,-0.395,-0.26
964,-0.405,-0.265
965,-0.41,-0.265
966,-0.405,-0.26
967,-0.4,-0.24
968,-0.39,-0.245
969,-0.395,-0.26
970,-0.41,-0.27
971,-0.415,-0.27
972,-0.41,-0.255
973,-0.395,-0.255
974,-0.405,-0.25
975,-0.41,-0.265
976,-0.405,-0.27
977,-0.405,-0.27
978,-0.41,-0.265
979,-0.39,-0.25
980,-0.385,-0.245
981,-0.39,-0.265
982,-0.395,-0.27
983,-0.4,-0.26
984,-0.4,-0.255
985,-0.4,-0.245
986,-0.395,-0.25
987,-0.395,-0.26
988,-0.405,-0.27
989,-0.405,-0.26
990,-0.4,-0.255
991,-0.395,-0.25
992,-0.385,-0.255
993,-0.375,-0.255
994,-0.385,-0.275
995,-0.395,-0.27
996,-0.39,-0.265
997,-0.385,-0.26
998,-0.375,-0.26
999,-0.385,-0.275
1000,-0.395,-0.27
1001,-0.395,-0.26
1002,-0.385,-0.245
1003,-0.375,-0.255
1004,-0.375,-0.265
1005,-0.385,-0.265
1006,-0.395,-0.27
1007,-0.39,-0.265
1008,-0.39,-0.26
1009,-0.365,-0.27
1010,-0.375,-0.265
1011,-0.385,-0.27
1012,-0.395,-0.28
1013,-0.38,-0.285
1014,-0.385,-0.28
1015,-0.375,-0.285
1016,-0.38,-0.29
1017,-0.39,-0.31
1018,-0.38,-0.305
1019,-0.375,-0.3
1020,-0.375,-0.3
1021,-0.375,-0.31
1022,-0.375,-0.325
1023,-0.38,-0.34
1024,-0.39,-0.34
1025,-0.39,-0.325
1026,-0.365,-0.32
1027,-0.37,-0.355
1028,-0.375,-0.36
1029,-0.385,-0.38
1030,-0.39,-0.385
1031,-0.39,-0.375
1032,-0.375,-0.365
1033,-0.365,-0.375
1034,-0.385,-0.385
1035,-0.38,-0.39
1036,-0.39,-0.395
1037,-0.375,-0.385
1038,-0.375,-0.375
1039,-0.365,-0.375
1040,-0.37,-0.375
1041,-0.385,-0.38
1042,-0.395,-0.365
1043,-0.385,-0.345
1044,-0.385,-0.335
1045,-0.37,-0.315
1046,-0.365,-0.31
1047,-0.37,-0.305
1048,-0.375,-0.29
1049,-0.35,-0.27
1050,-0.335,-0.255
1051,-0.32,-0.25
1052,-0.315,-0.245
1053,-0.32,-0.235
1054,-0.325,-0.235
1055,-0.315,-0.225
1056,-0.295,-0.22
1057,-0.285,-0.195
1058,-0.3,-0.215
1059,-0.295,-0.23
1060,-0.285,-0.215
1061,-0.285,-0.205
1062,-0.28,-0.195
1063,-0.27,-0.2
1064,-0.28,-0.195
1065,-0.29,-0.195
1066,-0.295,-0.205
1067,-0.295,-0.195
1068,-0.29,-0.18
1069,-0.28,-0.19
1070,-0.29,-0.205
1071,-0.295,-0.21
1072,-0.31,-0.205
1073,-0.295,-0.18
1074,-0.285,-0.185
1075,-0.28,-0.19
1076,-0.275,-0.205
1077,-0.295,-0.215
1078,-0.305,-0.215
1079,-0.3,-0.215
1080,-0.295,-0.19
1081,-0.295,-0.21
1082,-0.285,-0.2
1083,-0.3,-0.215
1084,-0.305,-0.22
1085,-0.3,-0.225
1086,-0.295,-0.215
1087,-0.3,-0.215
1088,-0.305,-0.23
1089,-0.315,-0.225
1090,-0.31,-0.225
1091,-0.315,-0.21
1092,-0.295,-0.21
1093,-0.3,-0.215
1094,-0.31,-0.23
1095,-0.33,-0.235
1096,-0.34,-0.23
1097,-0.33,-0.22
1098,-0.32,-0.215
1099,-0.32,-0.23
1100,-0.315,-0.235
1101,-0.325,-0.25
1102,-0.335,-0.245
1103,-0.33,-0.24
1104,-0.315,-0.22
1105,-0.32,-0.23
1106,-0.32,-0.23
1107,-0.33,-0.235
1108,-0.345,-0.24
1109,-0.34,-0.235
1110,-0.335,-0.22
1111,-0.33,-0.23
1112,-0.335,-0.24
1113,-0.345,-0.255
1114,-0.35,-0.245
1115,-0.345,-0.235
1116,-0.34,-0.22
1117,-0.335,-0.23
1118,-0.335,-0.24
1119,-0.33,-0.25
1120,-0.335,-0.255
1121,-0.34,-0.24
1122,-0.335,-0.225
1123,-0.32,-0.23
1124,-0.34,-0.235
1125,-0.34,-0.24
1126,-0.35,-0.245
1127,-0.365,-0.235
1128,-0.36,-0.23
1129,-0.345,-0.235
1130,-0.345,-0.24
1131,-0.35,-0.245
1132,-0.35,-0.235
1133,-0.35,-0.235
1134,-0.34,-0.23
1135,-0.34,-0.24
1136,-0.345,-0.235
1137,-0.345,-0.245
1138,-0.38,-0.25
1139,-0.36,-0.23
1140,-0.36,-0.21
1141,-0.345,-0.23
1142,-0.345,-0.235
1143,-0.35,-0.245
1144,-0.355,-0.25
1145,-0.345,-0.245
1146,-0.33,-0.23
1147,-0.33,-0.23
1148,-0.335,-0.235
1149,-0.335,-0.25
1150,-0.34,-0.25
1151,-0.33,-0.24
1152,-0.32,-0.225
1153,-0.29,-0.23
1154,-0.29,-0.235
1155,-0.3,-0.24
1156,-0.305,-0.245
